               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,            0.053632,          8.7435e-05,            0.019523,          5.3214e-05,          1.2475e-05,             0.10351,            0.014736,            0.048796,            0.070333,           0.0032963,           0.0032963
                   1,                 nan,                 nan,            0.053831,          9.0302e-05,            0.020158,          5.2696e-05,          1.2319e-05,             0.10338,            0.014758,              0.0488,            0.040268,            0.006564,            0.006564
                   2,             0.10725,            0.045288,            0.052926,          8.3636e-05,            0.018631,          4.9332e-05,          1.1512e-05,             0.10053,            0.015032,            0.048779,            0.010136,           0.0097657,           0.0097657
                   3,            0.096656,            0.041191,            0.051931,          0.00011024,            0.013911,          5.9297e-05,          1.3849e-05,             0.10047,            0.016858,            0.052133,            0.009703,            0.009703,            0.009703
                   4,                 nan,                 nan,            0.050084,           0.0001737,            0.001292,            8.77e-05,          1.7506e-05,            0.082855,             0.03486,            0.060307,            0.009703,            0.009703,            0.009703
                   5,            0.089746,            0.066351,            0.049289,          0.00025301,            0.057464,          0.00017146,           4.608e-05,            0.087762,              47.161,             0.51774,            0.009604,            0.009604,            0.009604
                   6,            0.087272,            0.061345,            0.049022,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   7,            0.088061,             0.07097,            0.048604,                   0,                   0,                   0,                   0,                 nan,                 nan,              38.485,            0.009406,            0.009406,            0.009406
                   8,            0.089162,            0.067688,            0.048568,                   0,                   0,                   0,                   0,                 nan,                 nan,              3.9461,            0.009307,            0.009307,            0.009307
                   9,            0.091903,             0.07192,            0.048647,          6.9272e-05,            0.047919,          5.0724e-05,          1.0497e-05,             0.11108,            0.025066,             0.42987,            0.009208,            0.009208,            0.009208
                  10,            0.091725,            0.081867,            0.048809,          4.8657e-05,           0.0033925,          2.6217e-05,          3.4442e-06,            0.099058,            0.019886,             0.04793,            0.009109,            0.009109,            0.009109
                  11,            0.091346,            0.069611,            0.048422,             0.16758,            0.025285,          0.00037672,          0.00011314,            0.082526,             0.23745,            0.046255,             0.00901,             0.00901,             0.00901
                  12,            0.089487,            0.071403,            0.048278,           0.0010857,            0.068709,           0.0006805,          0.00014437,             0.09489,            0.071072,            0.046535,            0.008911,            0.008911,            0.008911
                  13,            0.089558,            0.077912,            0.048343,             0.83965,            0.094937,           0.0098608,           0.0039528,             0.11072,             0.10481,            0.054043,            0.008812,            0.008812,            0.008812
                  14,            0.089402,             0.07756,            0.048682,              0.1682,             0.10146,           0.0020329,           0.0005142,             0.10219,             0.57996,             0.10158,            0.008713,            0.008713,            0.008713
                  15,            0.087447,            0.074883,            0.048211,                   0,                   0,                   0,                   0,            0.097215,             0.91961,            0.049883,            0.008614,            0.008614,            0.008614
                  16,            0.087602,            0.070585,             0.04838,          0.00014182,            0.054142,          0.00010325,          2.8496e-05,                 nan,                 nan,              26.414,            0.008515,            0.008515,            0.008515
                  17,            0.086513,            0.074688,            0.048766,                   0,                   0,                   0,                   0,             0.11553,              107.61,             0.49015,            0.008416,            0.008416,            0.008416
                  18,            0.083651,            0.079907,            0.048748,           2.297e-05,             0.00246,          1.2038e-05,          1.2038e-06,             0.11568,              302.51,              14.618,            0.008317,            0.008317,            0.008317
                  19,            0.084464,            0.070569,            0.048372,           0.0048244,            0.065881,           0.0020703,          0.00069651,             0.10075,            0.054258,            0.069603,            0.008218,            0.008218,            0.008218
                  20,            0.082876,            0.069523,            0.048046,          2.8181e-05,             0.00369,          1.5181e-05,          4.2163e-06,             0.12604,              60.809,             0.87719,            0.008119,            0.008119,            0.008119
                  21,             0.08523,            0.079965,            0.048038,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  22,            0.085783,            0.075943,            0.048129,          4.0709e-05,            0.004336,          2.1515e-05,          2.4081e-06,                 nan,                 nan,                 nan,            0.007921,            0.007921,            0.007921
                  23,            0.085971,            0.079144,            0.048399,          7.5374e-06,            0.001876,          3.8271e-06,          6.3611e-07,                 nan,                 nan,                 nan,            0.007822,            0.007822,            0.007822
                  24,            0.087032,             0.08387,             0.04862,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007723,            0.007723,            0.007723
